Level;Name;ShortCode;Description;Uri;BroaderConcept
3;operating petroleum, chemical or water processing systems or equipment;S8.4.5;"Operating machinery for producing, refining or purifying petroleum, chemicals, gases or water.
Examples:
- Operate distillation equipment
- Operate biogas plant
- Operate hatchery recirculation system";http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6;operating machinery for the extraction and processing of raw materials
2;operating machinery for the manufacture of products;S8.5;"Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the manufacture of goods.
nan";http://data.europa.eu/esco/skill/2b8a86c4-d063-44d5-863f-a9659024cefe;working with machinery and specialised equipment
3;operating machinery for the manufacture of products;S8.5.0;"Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the manufacture of goods.
nan";http://data.europa.eu/esco/skill/18f2a44e-28ef-4ae3-8ea2-347e33bd9a4b;operating machinery for the manufacture of products
3;operating metal, plastic or rubber forming equipment;S8.5.7;"Operating and tending machinery to mould, press, or form metal, plastic, rubber or other materials into a particular shape.
Excludes:
- Operating metal extrusion machines

Examples:
- Tend injection moulding machine
- Tend mouldmaking machines";http://data.europa.eu/esco/skill/39d83364-c86f-4942-96d1-e5df582face9;operating machinery for the manufacture of products
3;operating painting or coating machinery;S8.5.1;"Operating machinery to apply paints or coatings to the surface of products or materials.
Excludes:
- Operating handheld tools such as handheld spray guns

Examples:
- Galvanise metal workpiece
- Tend coating machine
- Tend dip tank";http://data.europa.eu/esco/skill/418e58f5-c50c-4147-baa0-83aeb43b796a;operating machinery for the manufacture of products
3;operating packaging machinery;S8.5.2;"Operating, tending and monitoring machinery for packaging or bottling products.
Examples:
- Tend bottle cork machine
- Tend meat packaging machine";http://data.europa.eu/esco/skill/7ec00c15-c9bb-4b74-9b8b-681424e9ea2c;operating machinery for the manufacture of products
3;operating mixing and separating machinery;S8.5.5;"Operating machinery for mixing, blending and separating liquid or solid materials.
Excludes:
- Operating handheld tools such as kitchen blenders.

Examples:
- Tend centrifuge machines
- Operate rubber mixing machine
- Tend tumbling barrels";http://data.europa.eu/esco/skill/8d80f33a-ab38-429b-a4ed-3b1a6f8f3b4a;operating machinery for the manufacture of products
3;operating machinery for the manufacture and treatment of textiles, fur and leather products;S8.5.3;"Operating and tending machinery for the manufacture and treatment of textiles, fur and leather products.
Examples:
- Apply pre-stitching techniques
- Manufacture woven fabrics
- Tend knitting machine";http://data.europa.eu/esco/skill/a0ad9ea8-9620-4aba-a836-cbdd16e12880;operating machinery for the manufacture of products
3;operating cutting, grinding and smoothing machinery;S8.5.8;"Operating and tending machinery to cut grind and smooth work pieces made of metal, wood, plastic or various other materials.
Examples:
- Operate drill press
- Tend lathe
- Operate table saw";http://data.europa.eu/esco/skill/a7956044-f468-4bc1-a83c-a8821b903a09;operating machinery for the manufacture of products
3;operating food processing machinery;S8.5.4;"Operating and tending machinery for the processing of food and other organic materials and for the manufacture of food and related products.
Excludes:
- Operating handheld tools and bench top kitchen appliances

Examples:
- Operate fish processing equipment
- Tend bakery ovens
- Tend blanching machines";http://data.europa.eu/esco/skill/ceca8bbe-cd58-49b4-8ef4-9a34a5ac0f75;operating machinery for the manufacture of products
3;operating print and photographic production equipment;S8.5.6;"Operating and tending machinery for printing and photographic reproduction.
Examples:
- Operate flexographic printing machine
- Adjust rotogravure press
- Operate collating machine";http://data.europa.eu/esco/skill/dcb9c446-bb08-44de-89b6-851ac2903eaf;operating machinery for the manufacture of products
2;using precision instrumentation and equipment;S8.6;"Controlling, monitoring, and adjusting precision instrumentation and equipment for a wide range of purposes.
Excludes:
- Installing and setting up precision equipment";http://data.europa.eu/esco/skill/4d7fb3eb-554a-4cf1-a576-bf6e153bdba2;working with machinery and specialised equipment
3;operating communications equipment;S8.6.4;"Controlling, monitoring, and adjusting telecommunication, navigation, radio transmission or broadcasting equipment.
Excludes:
- Installing and setting up precision equipment

Examples:
- Operate broadcast equipment
- Operate radar equipment
- Operate maritime communication equipment";http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6;using precision instrumentation and equipment
3;using precision instrumentation and equipment;S8.6.0;"Controlling, monitoring, and adjusting precision instrumentation and equipment for a wide range of purposes.
Excludes:
- Installing and setting up precision equipment";http://data.europa.eu/esco/skill/57e6af87-8a6b-4ecb-88e5-7c80b582ddd7;using precision instrumentation and equipment
3;operating scientific and laboratory equipment;S8.6.3;"Controlling, monitoring, and adjusting precision instrumentation and equipment for the conduct of scientific experiments and diagnostic tests.
Excludes:
- Installing and setting up precision equipment

Examples:
- Operate microscope
- Use chemical analysis equipment
- Operate meteorological instruments";http://data.europa.eu/esco/skill/7ca69606-5ffc-4668-ae53-713c1f1612e6;using precision instrumentation and equipment
3;operating medical equipment;S8.6.1;"Controlling, monitoring, and adjusting precision instrumentation and equipment used for diagnosing and treatment of medical conditions.
Excludes:
- Installing and setting up precision equipment
- Operating equipment used in laboratory tests, including pathology

Examples:
- Operate medical imaging equipment
- Operate heart-lung machines";http://data.europa.eu/esco/skill/872c0ddb-f056-4f51-afac-fc3d6fae0f5b;using precision instrumentation and equipment
3;operating audio-visual equipment;S8.6.2;"Controlling, monitoring, and adjusting precision instrumentation and equipment for recording of sound, video and images, and for use in live performances or exhibitions.
Excludes:
- Installing and setting up precision equipment

Examples:
- Operate an audio mixing console
- Operate a camera
- Operate lighting equipment";http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5;using precision instrumentation and equipment
3;operating precision industrial equipment;S8.6.5;"Controlling, monitoring, and adjusting precision instrumentation and equipment for industrial production.
Excludes:
- Installing and setting up precision equipment

Examples:
- Calibrate mechatronic instruments
- Operate optical assembly equipment";http://data.europa.eu/esco/skill/bf4196e4-839c-4f5f-b13b-eeed07ede160;using precision instrumentation and equipment
3;using precision measuring equipment;S8.6.6;"Using, reading and monitoring instruments and equipment for precise measurement.
Excludes:
- Installing and setting up precision equipment

Examples:
- Read electricity meter
- Operate surveying instruments
- Use lensometer";http://data.europa.eu/esco/skill/c8f4aad2-ea23-49a2-9708-a6049c2d28ce;using precision instrumentation and equipment
2;driving vehicles;S8.2;"Driving vehicles on or off road, such as motorcycles, cars, vans, trucks and buses, for the transportation of goods or people by road.
Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people

Examples:
- Drive at high speed";http://data.europa.eu/esco/skill/663d82aa-4c0d-46bc-90f5-03770f068bb1;working with machinery and specialised equipment
3;operating rail vehicles;S8.2.3;"Controlling the movement of rail vehicles such as trains and trams.
Excludes:
- Operating cable propelled vehicles such as funiculars

Examples:
- Drive trams
- Operate railway vehicles
- Shunt rolling stock in marshalling yards";http://data.europa.eu/esco/skill/8e77453d-3665-4d00-b887-2e9adb29cd15;driving vehicles
3;driving heavy vehicles;S8.2.1;"Driving heavy vehicles, such as heavy trucks and buses, for the transportation of goods or people by road.
Heavy vehicles are those with a total weight above 3,500 kg. (vehicle + load)

Examples:
- Drive ambulance under emergency conditions
- Manoeuvre bus
- Operate dump truck
- Drive funicular";http://data.europa.eu/esco/skill/c54a0a94-9d45-4697-b7cb-f7eaef839031;driving vehicles
3;driving light vehicles;S8.2.2;"Controlling the movement of light vehicles such as motorcycles cars, taxis, vans and light trucks.
Light vehicles are those with a total weight not exceeding 3,500 kg. (vehicle + load)

Examples:
- Drive two-wheeled vehicles
- Drive automatic car";http://data.europa.eu/esco/skill/dbbbe31a-9b8c-4459-a830-84363648f52c;driving vehicles
3;driving vehicles;S8.2.0;"Driving vehicles on or off road, such as motorcycles, cars, vans, trucks and buses, for the transportation of goods or people by road.
Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people

Examples:
- Drive at high speed";http://data.europa.eu/esco/skill/f7c70392-a261-42e9-86a6-fccf3709ac81;driving vehicles
2;installing, maintaining and repairing electrical, electronic and precision equipment;S8.8;"Installing, setting-up, maintaining and repairing electrical and electronic equipment, and control systems, scientific devices, instrumentation and precision equipment.
Excludes:
- Installing computer software, and configuring computer networks";http://data.europa.eu/esco/skill/7b942071-f688-4600-8d9f-ad4c0306abc7;working with machinery and specialised equipment
3;installing, maintaining and repairing electrical, electronic and precision equipment;S8.8.0;"Installing, setting-up, maintaining and repairing electrical and electronic equipment, and control systems, scientific devices, instrumentation and precision equipment.
Excludes:
- Installing computer software, and configuring computer networks";http://data.europa.eu/esco/skill/a6b0802f-4c20-4123-8a84-d6c8631fedb1;installing, maintaining and repairing electrical, electronic and precision equipment
3;installing and repairing electrical, electronic and precision equipment;S8.8.1;"Installing, setting-up, and repairing electrical, electronic, mechatronic and precision equipment, and control systems, scientific and medical devices, instrumentation and precision equipment.
Excludes:
- Installing computer software, and configuring computer networks
- Setting up audio-visual equipment

Examples:
- Configure electronic equipment
- Install electric switches
- Install low voltage wiring
- Repair household appliances
- Repair vehicle electrical systems";http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060;installing, maintaining and repairing electrical, electronic and precision equipment
3;maintaining electrical, electronic and precision equipment;S8.8.2;"Maintaining electrical and electronic and mechatronic equipment, control systems, scientific and medical devices, instrumentation and precision equipment to ensure continued or optimal functioning.
Examples:
- Adjust voltage
- Maintain automated lighting equipment
- Maintain medical devices";http://data.europa.eu/esco/skill/ec0401f1-f690-46be-934b-f6f5611085f5;installing, maintaining and repairing electrical, electronic and precision equipment
2;operating watercraft;S8.3;"Operating and controlling the movement of watercraft and underwater vessels, including ships, boats and other types of vessel.
Examples:
- Operate mechanical equipment of ships
- Operate small craft
- Use fishing vessel equipment
- Navigate European inland waterways
- Steer vessels";http://data.europa.eu/esco/skill/8427894f-2622-4b97-9366-72234a5fab50;working with machinery and specialised equipment
3;operating watercraft;S8.3.0;"Operating and controlling the movement of watercraft and underwater vessels, including ships, boats and other types of vessel.
Examples:
- Operate mechanical equipment of ships
- Operate small craft
- Use fishing vessel equipment
- Navigate European inland waterways
- Steer vessels";http://data.europa.eu/esco/skill/36c9717b-e53a-4d16-b7df-b6555eff43f8;operating watercraft
2;working with machinery and specialised equipment;S8.0;"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.
Excludes:
- Interacting with computers";http://data.europa.eu/esco/skill/cab71b2a-4b65-4e98-a7a9-0b20c39fc248;working with machinery and specialised equipment
3;working with machinery and specialised equipment;S8.0.0;"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.
Excludes:
- Interacting with computers";http://data.europa.eu/esco/skill/a4cf0e8a-54f6-4fd5-8650-1c82ea86cfd2;working with machinery and specialised equipment
2;operating aircraft;S8.9;"Controlling the movement of aircraft, including fixed wing aircraft, helicopters and drones.
Examples:
- Perform take-off and landing
- Drive helicopter under emergency conditions
- Operate cockpit control panels";http://data.europa.eu/esco/skill/d9b1387a-7cad-4b77-8481-7798a3b41714;working with machinery and specialised equipment
3;operating aircraft;S8.9.0;"Controlling the movement of aircraft, including fixed wing aircraft, helicopters and drones.
Examples:
- Perform take-off and landing
- Drive helicopter under emergency conditions
- Operate cockpit control panels";http://data.europa.eu/esco/skill/44c81158-f789-41ad-a988-e8af0884a443;operating aircraft
2;operating mobile plant;S8.1;"Controlling the operation of machinery whose mobility is an integral part of its function, such as earthmoving, agricultural, forestry and lifting equipment.
nan";http://data.europa.eu/esco/skill/da94d48b-5036-48e1-ad96-d85cba6ed29c;working with machinery and specialised equipment
3;operating earthmoving equipment;S8.1.1;"Operating equipment for moving, excavating, smoothing or shaping earth
Excludes:
- Operating mining, drilling, tunnelling and boring machinery

Examples:
- Drive steel piles
- Operate bulldozer
- Operate front loader
- Operate grader";http://data.europa.eu/esco/skill/19990cb0-e9d5-41c7-9638-88700b47271e;operating mobile plant
3;operating agricultural or forestry equipment;S8.1.2;"Operating mobile equipment specifically designed for agricultural or forestry purposes, such as cultivating land or harvesting crops and trees.
Examples:
- Operate agricultural machinery
- Operate tractor
- Operate forestry machinery";http://data.europa.eu/esco/skill/64acded2-d944-4f85-a703-cfe9375f706a;operating mobile plant
3;operating mobile plant;S8.1.0;"Controlling the operation of machinery whose mobility is an integral part of its function, such as earthmoving, agricultural, forestry and lifting equipment.
nan";http://data.europa.eu/esco/skill/a5524d0d-38e5-4cfc-96c4-46c3c6df3dd1;operating mobile plant
3;operating lifting or moving equipment;S8.1.3;"Operating equipment for lifting and moving objects, such as cranes, hoists, cable cars and lifting trucks.
Excludes:
- Operating earthmoving equipment

Examples:
- Operate cranes
- Drive forklift
- Operate chair-lift
- Operate bottom supported cable-propelled vehicles";http://data.europa.eu/esco/skill/a60b664f-bb07-4dd1-8dfa-134a0827f8da;operating mobile plant
1;assisting and caring;S3;"Providing assistance, nurturing, care, service and support to people, and ensuring compliance to rules, standards, guidelines or laws.
nan";http://data.europa.eu/esco/skill/c73521be-c039-4e22-b037-3b01b3f6f9d9;
2;protecting and enforcing;S3.3;"Responding to public and personal safety and security needs and ensuring compliance to rules, standards, guidelines or laws.
nan";http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809;assisting and caring
3;protecting privacy and personal data;S3.3.6;"Using and sharing identifiable information about individuals or enterprises in a manner that respects data protection principles, privacy and confidentiality.
Examples:
- Protect personal data and privacy
- Safeguard online privacy and identity 
- Ensure the privacy of guests";http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4;protecting and enforcing
3;ensuring compliance with legislation;S3.3.7;"Ensuring compliance with national or international laws and legislation.
Examples:
- apply immigration law
- ensure customs compliance
- meet building regulations

Excludes:
- adhere to organisational guidelines
- protect biodiversity";http://data.europa.eu/esco/skill/35dc2a23-cdc3-4291-930f-927ba2911949;protecting and enforcing
3;complying with health and safety procedures;S3.3.1;"Ensuring compliance to rules, standards, guidelines laws or good practices relating to the health and safety of oneself, co-workers, employees and the public.
Examples:
- follow hygienic work practices
- use personal protection equipment
- protect health and well-being while using digital technologies

Excludes:
- attend to personal hygiene";http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48;protecting and enforcing
3;complying with operational procedures;S3.3.3;"Ensuring compliance with operational procedures, standards or guidelines at company level related to matters other than health, safety and the environment.
Examples:
- adhere to organisational guidelines
- apply socially just working principles

Excludes:
- comply with legislation in social services
- ensure compliance with gaming laws
- follow hygienic practices in fishery operations";http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf;protecting and enforcing
3;complying with environmental protection laws and standards;S3.3.2;"Ensuring compliance with regulations, standards, guidelines, laws or practices relating to the protection of the environment.
Examples:
- follow environmentally-sustainable work practices
- implement environmental protection measures
- protect biodiversity

Excludes: 
- ensure customs compliance";http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6;protecting and enforcing
3;verifying identities and documentation;S3.3.4;"Check an individuals' documentation, such as driver's licenses, official identification documents, travel documents and tickets, to ensure compliance with legal regulations, identify individuals, and assess their right to access services, areas or facilities.
Examples:
- check official documents
- check passenger tickets
- check tickets at venue entry";http://data.europa.eu/esco/skill/e67fd42d-25f1-4124-b0be-3b1e3bfdd70c;protecting and enforcing
3;maintaining and enforcing physical security;S3.3.5;"Ensuring safety and security of persons and property through physical actions.
Examples:
- extinguish fires 
- conduct security screenings
- detain offenders
- rescue bathers";http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536;protecting and enforcing
